Wavelength,Flux,Error
3858.03,1.1330e+01,2.7363e+00
3858.80,8.5077e+00,2.7306e+00
3859.58,1.5002e+01,2.7054e+00
3860.35,1.6587e+01,2.7110e+00
3861.13,1.2184e+01,2.7057e+00
3861.90,1.0937e+01,2.6847e+00
3862.68,4.2968e+00,2.6936e+00
3863.45,4.5032e+00,2.6618e+00
3864.23,8.0146e+00,2.6234e+00
3865.00,3.5358e+00,2.6289e+00
3865.78,6.3515e+00,2.6306e+00
3866.55,1.2939e+01,2.6419e+00
3867.33,4.0528e+00,2.6425e+00
3868.10,1.3341e+01,2.6252e+00
3868.88,1.4452e+01,2.6326e+00
3869.65,5.4776e+00,2.6354e+00
3870.43,8.1198e+00,2.6166e+00
3871.20,-1.5873e-01,2.5899e+00
3871.98,5.8177e+00,2.5822e+00
3872.75,1.7211e+01,2.5788e+00
3873.52,1.5800e+01,2.5797e+00
3874.30,8.6488e+00,2.5881e+00
3875.07,1.2495e+01,2.5921e+00
3875.85,9.8773e+00,2.5626e+00
3876.62,1.1134e+01,2.5498e+00
3877.40,1.6343e+01,2.5597e+00
3878.17,1.3064e+01,2.5629e+00
3878.95,1.0725e+01,2.5503e+00
3879.72,1.1924e+01,2.5379e+00
3880.50,8.4975e+00,2.5304e+00
3881.27,1.4270e+01,2.5136e+00
3882.05,1.3299e+01,2.5284e+00
3882.82,1.1454e+01,2.5071e+00
3883.60,1.3687e+01,2.5140e+00
3884.37,7.0705e+00,2.5230e+00
3885.15,7.3275e+00,2.5207e+00
3885.92,2.0438e+01,2.5096e+00
3886.70,1.6924e+01,2.4940e+00
3887.47,1.6771e+01,2.4663e+00
3888.25,1.6979e+00,2.4502e+00
3889.02,1.0494e+01,2.4567e+00
3889.80,1.4953e+01,2.5325e+00
3890.57,1.8645e+01,2.5619e+00
3891.35,8.4042e+00,2.5223e+00
3892.12,1.2986e+01,2.5291e+00
3892.90,5.2045e+00,2.5109e+00
3893.67,6.0408e+00,2.4901e+00
3894.45,1.3661e+01,2.4876e+00
3895.22,1.2723e+01,2.4819e+00
3896.00,6.3624e+00,2.4883e+00
3896.77,1.3117e+01,2.4824e+00
3897.55,7.4002e+00,2.4061e+00
3898.32,1.2227e+01,2.3992e+00
3899.10,1.7865e+01,2.3874e+00
3899.87,1.6003e+01,2.3856e+00
3900.65,1.2042e+01,2.3890e+00
3901.42,6.9689e+00,2.3887e+00
3902.20,7.7210e+00,2.3816e+00
3902.97,1.4131e+01,2.3740e+00
3903.75,1.4367e+01,2.3801e+00
3904.52,1.1573e+01,2.3780e+00
3905.30,9.6127e+00,2.3681e+00
3906.07,-1.2234e+00,2.3576e+00
3906.85,1.2725e+01,2.3436e+00
3907.62,1.7160e+01,2.3408e+00
3908.40,1.5951e+01,2.3306e+00
3909.17,1.1212e+01,2.3283e+00
3909.95,1.4383e+00,2.3318e+00
3910.72,4.8251e+00,2.3172e+00
3911.50,1.6460e+01,2.3210e+00
3912.27,1.3979e+01,2.3200e+00
3913.05,1.5341e+01,2.3248e+00
3913.82,1.1521e+01,2.3107e+00
3914.60,3.2773e+00,2.2947e+00
3915.37,1.1891e+01,2.2940e+00
3916.15,1.6492e+01,2.2971e+00
3916.92,1.4097e+01,2.2914e+00
3917.70,1.4482e+01,2.2737e+00
3918.47,9.9566e+00,2.2682e+00
3919.25,1.0528e+01,2.2719e+00
3920.02,1.6333e+01,2.2797e+00
3920.80,1.7222e+01,2.2733e+00
3921.57,1.2183e+01,2.2565e+00
3922.35,1.4525e+01,2.2337e+00
3923.12,8.6481e+00,2.2339e+00
3923.90,1.6250e+01,2.2485e+00
3924.67,2.3740e+01,2.2500e+00
3925.45,1.2233e+01,2.2429e+00
3926.22,1.0308e+01,2.2380e+00
3927.00,9.3190e+00,2.2168e+00
3927.77,9.3381e+00,2.2156e+00
3928.55,1.7426e+01,2.2189e+00
3929.32,1.0827e+01,2.2148e+00
3930.10,9.1332e+00,2.2112e+00
3930.87,1.0147e+01,2.2017e+00
3931.65,5.3959e+00,2.2177e+00
3932.42,9.4992e+00,2.2133e+00
3933.20,1.3663e+01,2.2020e+00
3933.97,1.2800e+01,2.2001e+00
3934.75,1.3117e+01,2.2011e+00
3935.52,9.7415e+00,2.2039e+00
3936.30,6.3915e+00,2.1913e+00
3937.07,1.0319e+01,2.1982e+00
3937.85,1.7394e+01,2.2350e+00
3938.62,1.5187e+01,2.2721e+00
3939.40,1.1439e+01,2.2723e+00
3940.17,3.3518e+00,2.3051e+00
3940.95,9.8955e+00,2.1660e+00
3941.72,1.8026e+01,2.1623e+00
3942.50,1.5015e+01,2.1594e+00
3943.27,1.2897e+01,2.1573e+00
3944.05,1.3382e+01,2.1519e+00
3944.82,9.4610e+00,2.1418e+00
3945.60,1.4889e+01,2.1400e+00
3946.37,1.5885e+01,2.1449e+00
3947.15,9.8824e+00,2.1462e+00
3947.92,9.0240e+00,2.1436e+00
3948.69,9.2278e+00,2.1335e+00
3949.47,9.8550e+00,2.1082e+00
3950.24,1.4272e+01,2.1097e+00
3951.02,2.1173e+01,2.1176e+00
3951.79,2.1452e+01,2.1170e+00
3952.57,7.2930e+00,2.1035e+00
3953.34,1.4913e+01,2.0990e+00
3954.12,1.6221e+01,2.1146e+00
3954.89,1.8222e+01,2.1138e+00
3955.67,1.1946e+01,2.0918e+00
3956.44,1.3536e+01,2.0933e+00
3957.22,9.9848e+00,2.1001e+00
3957.99,1.3744e+01,2.0923e+00
3958.77,2.0709e+01,2.0840e+00
3959.54,1.2721e+01,2.0759e+00
3960.32,1.5667e+01,2.0664e+00
3961.09,1.1733e+01,2.0748e+00
3961.87,1.0890e+01,2.0699e+00
3962.64,1.7752e+01,2.0617e+00
3963.42,2.2357e+01,2.0662e+00
3964.19,2.2033e+01,2.0578e+00
3964.97,2.0641e+01,2.0508e+00
3965.74,8.1930e+00,2.0467e+00
3966.52,1.3365e+01,2.0340e+00
3967.29,1.7822e+01,2.0103e+00
3968.07,1.2878e+01,2.0073e+00
3968.84,1.4955e+01,2.0155e+00
3969.62,1.4844e+01,2.0310e+00
3970.39,1.1360e+01,2.0163e+00
3971.17,1.9399e+01,2.0196e+00
3971.94,1.7274e+01,2.0212e+00
3972.72,1.0933e+01,2.0204e+00
3973.49,1.2530e+01,2.0120e+00
3974.27,6.5452e+00,2.0142e+00
3975.04,1.6379e+01,2.0168e+00
3975.82,2.4686e+01,2.0126e+00
3976.59,1.9287e+01,2.0037e+00
3977.37,1.3069e+01,1.9935e+00
3978.14,7.2722e+00,1.9940e+00
3978.92,1.4840e+01,1.9917e+00
3979.69,2.5453e+01,1.9850e+00
3980.47,2.3623e+01,1.9753e+00
3981.24,1.3250e+01,1.9852e+00
3982.02,1.6853e+01,1.9733e+00
3982.79,7.3006e+00,1.9695e+00
3983.57,1.4971e+01,1.9777e+00
3984.34,2.6334e+01,1.9803e+00
3985.12,2.0798e+01,1.9703e+00
3985.89,1.5783e+01,1.9636e+00
3986.67,1.5347e+01,1.9614e+00
3987.44,1.6688e+01,1.9636e+00
3988.22,2.0435e+01,1.9582e+00
3988.99,1.8333e+01,1.9500e+00
3989.77,2.0652e+01,1.9497e+00
3990.54,2.5174e+01,1.9319e+00
3991.32,1.7046e+01,1.9381e+00
3992.09,1.4465e+01,1.9273e+00
3992.87,1.7912e+01,1.9319e+00
3993.64,1.7882e+01,1.9351e+00
3994.42,1.9845e+01,1.9209e+00
3995.19,1.5207e+01,1.9167e+00
3995.97,1.6070e+01,1.9155e+00
3996.74,1.8417e+01,1.9054e+00
3997.52,1.6716e+01,1.8932e+00
3998.29,1.6023e+01,1.8861e+00
3999.07,1.8767e+01,1.8931e+00
3999.84,1.4943e+01,1.8812e+00
4000.62,1.7643e+01,1.8782e+00
4001.39,2.2213e+01,1.8783e+00
4002.17,1.8002e+01,1.8690e+00
4002.94,1.8298e+01,1.8717e+00
4003.72,1.5126e+01,1.8842e+00
4004.49,1.2858e+01,1.8823e+00
4005.27,2.0700e+01,1.8807e+00
4006.04,1.6097e+01,1.8681e+00
4006.82,1.6204e+01,1.8699e+00
4007.59,1.8510e+01,1.8690e+00
4008.37,1.6774e+01,1.9532e+00
4009.14,2.4813e+01,1.8763e+00
4009.92,2.2071e+01,1.8554e+00
4010.69,1.7655e+01,1.8471e+00
4011.47,1.8375e+01,1.8651e+00
4012.24,1.5018e+01,1.8544e+00
4013.02,1.8559e+01,1.8414e+00
4013.79,2.0454e+01,1.8449e+00
