SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,II/2016esw/KAST phase-band : 0.59B,0.35695538,0.39360842,0.2,0.0,0.59,B,0.5471339,0.45286608,6.442139,0.013040768
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB1,II-flash/iPTF14flu_early/DEIMOS phase-band : u-,0.1553133,0.68305707,0.0,-1.0,u,-,0.34501213,0.6549879,6.0058365,0.0130561665
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,FBOT/AT2018cow/SNIFS phase-band : -22.5B,0.29340395,0.16862084,0.4,-1.8,-22.5,B,0.96160907,0.03839095,5.763137,0.013098039
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB1,Ibn/2005la/DEIMOS phase-band : -1.35B,0.3741976,0.7031771,0.14,2.0,-1.35,B,0.101547614,0.8984524,5.8722816,0.013107771
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,S0,TDE H+He/2019qiz/X-Shooter phase-band : -9.0g,1.1434647,0.27845326,0.43,2.0,-9.0,g,0.7433252,0.25667486,5.8354206,0.013113304
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,SLSN-I/2017egm/ALFOSC phase-band : 5.35B,0.5941082,0.49996313,0.41,1.8,5.35,B,0.6000038,0.39999622,5.656369,0.013123826
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,SLSN-II/2008es/HET-LRS phase-band : -13.0B,0.54344136,0.43339604,0.2,0.0,-13.0,B,0.50690526,0.49309474,6.411066,0.013164407
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB3,Ia 99aa-like/1999aa/DIS phase-band : -6.0B,0.13954596,0.5635064,0.04,-1.4,-6.0,B,0.5710112,0.4289888,6.824602,0.013174907
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,Ibn/PTF11rfh/DBSP phase-band : 5.11r,0.74504066,0.49815336,0.35,2.0,5.11,r,0.2355569,0.7644431,6.1575584,0.01318535
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,II-flash/2014G_early/BC-Asi phase-band : -6.87B,1.1178862,0.42989713,0.42,2.0,-6.87,B,0.63544476,0.36455524,5.7141953,0.013196755
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB1,II/2013ej/DEIMOS phase-band : -1.15B,0.36130533,0.7054775,0.01,1.4,-1.15,B,0.1439633,0.85603666,5.946087,0.013213526
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB1,II-flash/iPTF15crj_early/GMOS phase-band : u-,0.49710092,0.6336892,0.14,2.0,u,-,0.1554311,0.8445689,6.226706,0.013220183
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB1,SLSN-I/2015bn/IMACS phase-band : 37.34B,0.4726787,0.66970474,0.14,2.0,37.34,B,0.12838481,0.8716152,6.12139,0.013249761
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB4,II-flash/2019vqd_early/EFOSC2-NTT phase-band : u-,0.52145743,0.65170395,0.13,2.0,u,-,0.24530908,0.7546909,6.631178,0.013262356
