no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
213,sn1995E,Ia-norm,0.6593,7.28,0.0746,0.0075,-2.9,0,good
214,sn1999ee,Ia-norm,0.9355,7.27,0.0847,0.0088,-7.2,0,good
215,sn2007fb,Ia-norm,0.7432,7.27,0.0731,0.0066,5.6,0,good
216,sn1981B,Ia-norm,0.9368,7.26,0.0755,0.0086,-1.5,0,good
217,sn1994M,Ia-norm,0.6918,7.26,0.0805,0.0073,1.6,0,good
218,sn2002er,Ia-norm,0.9368,7.26,0.0775,0.0086,-2.1,0,good
219,sn2005cf,Ia-norm,0.7378,7.25,0.0731,0.0074,4.5,0,good
220,sn2005eq,Ia-91T,0.7432,7.22,0.0751,0.008,0.4,0,good
221,sn2003it,Ia-norm,0.6972,7.22,0.0784,0.0069,-0.2,0,good
222,sn2003W,Ia-norm,0.6918,7.21,0.095,0.0089,-5.3,0,good
223,sn2005cf,Ia-norm,0.9179,7.21,0.0691,0.0086,7.2,0,good
224,sn2005cf,Ia-norm,0.7446,7.2,0.0865,0.0087,-9.3,0,good
225,sn2006sr,Ia-norm,0.7419,7.2,0.0779,0.0075,1.0,0,good
226,sn2007S,Ia-91T,0.7432,7.19,0.0762,0.0078,-0.7,0,good
227,sn1997bq,Ia-norm,0.7053,7.18,0.0906,0.0082,-6.6,0,good
228,sn2006sr,Ia-norm,0.7432,7.17,0.08,0.0073,-0.9,0,good
229,sn1999ej,Ia-norm,0.6986,7.15,0.0742,0.0068,1.1,0,good
230,sn2003ch,Ia-norm,0.6999,7.15,0.0716,0.0071,2.8,0,good
231,sn2003cq,Ia-norm,0.6986,7.12,0.0785,0.0073,0.0,0,good
232,sn2002er,Ia-norm,0.9368,7.12,0.0819,0.0087,-5.0,0,good
233,sn2006S,Ia-norm,0.7419,7.11,0.0768,0.008,3.2,0,good
234,sn2003it,Ia-norm,0.6999,7.11,0.0764,0.0069,3.7,0,good
235,sn1999cl,Ia-norm,0.6986,7.1,0.0874,0.0083,-8.3,0,good
236,sn2006gz,Ia-pec,0.6471,7.1,0.0758,0.0066,6.2,0,good
237,sn2007co,Ia-norm,0.7459,7.09,0.0838,0.0083,-4.1,0,good
238,sn2008Q,Ia-norm,0.7473,7.09,0.0794,0.0076,-6.2,0,good
239,sn2007bd,Ia-norm,0.7459,7.09,0.0792,0.0081,-1.3,0,good
240,sn2001ck,Ia-norm,0.6972,7.07,0.0752,0.0072,4.8,0,good
241,sn2006cz,Ia-91T,0.7405,7.07,0.0779,0.0092,-1.0,0,good
242,sn2007ci,Ia-norm,0.7419,7.06,0.0799,0.0072,-6.1,0,good
243,sn2001eh,Ia-91T,0.6945,7.06,0.0768,0.0074,3.7,0,good
244,sn1999cc,Ia-norm,0.6999,7.05,0.0794,0.0072,-1.2,0,good
245,sn2002er,Ia-norm,0.88,7.05,0.0752,0.0077,-1.1,0,good
246,sn1994ae,Ia-norm,0.7013,7.04,0.0726,0.0075,0.0,0,good
247,sn2003U,Ia-norm,0.6972,7.04,0.0798,0.0072,-5.6,0,good
248,sn2007hj,Ia-norm,0.7459,7.03,0.0787,0.0073,-2.6,0,good
249,sn1999ej,Ia-norm,0.6945,7.03,0.076,0.0071,-1.8,0,good
250,sn1998dx,Ia-norm,0.6999,7.03,0.0758,0.0076,1.1,0,good
251,sn2000dn,Ia-norm,0.6986,7.02,0.0732,0.0071,-0.9,0,good
252,sn1984A,Ia-norm,0.5496,7.02,0.0934,0.0086,-4.9,0,good
253,sn2003du,Ia-norm,0.8908,7.02,0.0788,0.0087,-4.2,0,good
254,sn2007ci,Ia-norm,0.7405,7.01,0.0791,0.0073,-5.1,0,good
255,sn2007ci,Ia-norm,0.7432,7.01,0.0802,0.0072,-7.1,0,good
256,sn1994M,Ia-norm,0.6769,7.0,0.0772,0.0078,5.6,0,good
257,sn2002ha,Ia-norm,0.9368,6.99,0.073,0.0085,1.7,0,good
258,sn1999cc,Ia-norm,0.6986,6.99,0.0769,0.0072,1.7,0,good
259,sn2006oa,Ia-91T,0.7487,6.99,0.0839,0.0096,-7.6,0,good
260,sn2002bo,Ia-norm,0.6972,6.99,0.087,0.0083,-6.3,0,good
261,sn2008Q,Ia-norm,0.7459,6.99,0.0801,0.0076,-7.2,0,good
262,sn2002ef,Ia-norm,0.6986,6.98,0.0789,0.0078,-2.9,0,good
263,sn2003it,Ia-norm,0.6986,6.97,0.0794,0.0071,-2.2,0,good
264,sn2006gr,Ia-norm,0.7487,6.97,0.0862,0.0091,-4.0,0,good
265,sn2003du,Ia-norm,0.8881,6.97,0.0814,0.0081,-7.2,0,good
266,sn2006cz,Ia-91T,0.7446,6.97,0.0789,0.0095,-3.9,0,good
267,sn2001eh,Ia-91T,0.9287,6.96,0.0746,0.009,2.7,0,good
268,sn2003du,Ia-norm,0.8922,6.94,0.0802,0.0091,-6.1,0,good
269,sn2002bo,Ia-norm,0.9246,6.93,0.0794,0.0094,-1.7,0,good
270,sn2006ot,Ia-norm,0.7487,6.92,0.0776,0.0098,2.5,0,good
271,sn1999ek,Ia-norm,0.6999,6.91,0.073,0.0072,3.3,0,good
272,sn2002er,Ia-norm,0.9368,6.91,0.0782,0.009,-3.1,0,good
273,sn1991M,Ia-norm,0.7216,6.9,0.0776,0.0077,2.7,0,good
274,sn2004fu,Ia-norm,0.7459,6.88,0.0879,0.0084,-6.4,0,good
275,sn1999cp,Ia-norm,0.75,6.88,0.0778,0.0088,-11.9,0,good
276,sn1999ee,Ia-norm,0.9355,6.87,0.0761,0.0091,1.8,0,good
277,sn2006sr,Ia-norm,0.7459,6.86,0.0769,0.0078,2.0,0,good
278,sn1998eg,Ia-norm,0.681,6.86,0.0739,0.007,4.1,0,good
279,sn1999gd,Ia-norm,0.6999,6.86,0.0738,0.0072,1.1,0,good
280,sn1995E,Ia-norm,0.6688,6.86,0.0734,0.0075,3.9,0,good
281,sn2003it,Ia-norm,0.6945,6.86,0.0786,0.0072,-1.1,0,good
282,sn1995D,Ia-norm,0.7202,6.84,0.0714,0.0081,5.5,0,good
283,sn2002he,Ia-norm,0.6986,6.84,0.0786,0.0073,3.7,0,good
284,sn2007kk,Ia-norm,0.7527,6.84,0.0754,0.0095,5.9,0,good
285,sn2000dm,Ia-norm,0.6972,6.84,0.0765,0.007,-2.9,0,good
286,sn2005M,Ia-91T,0.7392,6.84,0.0695,0.0081,0.2,0,good
287,sn1999aw,Ia-91T,0.8732,6.82,0.0856,0.0087,0.0,0,good
288,sn2000dn,Ia-norm,0.7189,6.81,0.0733,0.0075,-3.8,0,good
289,sn2003kc,Ia-norm,0.6959,6.8,0.0805,0.008,-0.9,0,good
290,sn2003cq,Ia-norm,0.7013,6.8,0.0778,0.0076,1.0,0,good
291,sn2006gr,Ia-norm,0.7446,6.79,0.0878,0.0094,-5.1,0,good
292,sn1999ac,Ia-91T,0.9274,6.78,0.0674,0.0088,2.7,0,good
293,sn2002ck,Ia-norm,0.6959,6.78,0.0743,0.0077,4.2,0,good
294,sn2006kf,Ia-norm,0.7446,6.78,0.0793,0.0071,-5.2,0,good
295,sn2003du,Ia-norm,0.8705,6.76,0.0737,0.0079,0.9,0,good
296,sn2005cf,Ia-norm,0.9233,6.76,0.0692,0.0093,5.2,0,good
297,sn2008ar,Ia-norm,0.7432,6.73,0.0826,0.0094,-3.7,0,good
298,sn2008ar,Ia-norm,0.7473,6.72,0.0793,0.0091,-0.7,0,good
299,sn2006sr,Ia-norm,0.7459,6.72,0.0762,0.0079,3.9,0,good
300,sn1997bq,Ia-norm,0.7067,6.72,0.0919,0.0088,-7.7,0,good
301,sn2003it,Ia-norm,0.6972,6.7,0.076,0.0074,5.7,0,good
302,sn2002dj,Ia-norm,0.9368,6.69,0.0855,0.0095,-3.6,0,good
303,sn1994M,Ia-norm,0.6891,6.68,0.0793,0.0075,2.6,0,good
304,sn2002hu,Ia-91T,0.7013,6.68,0.0761,0.0079,-3.5,0,good
305,sn2007hj,Ia-norm,0.7419,6.68,0.0775,0.0076,-1.5,0,good
306,sn2006cp,Ia-norm,0.7419,6.68,0.0904,0.009,-6.3,0,good
307,sn2003W,Ia-norm,0.6986,6.67,0.1004,0.0096,-8.2,0,bad
308,sn1999ee,Ia-norm,0.9057,6.67,0.0752,0.0093,6.7,0,good
309,sn2006gj,Ia-norm,0.7446,6.66,0.0727,0.0079,-0.7,0,good
310,sn2005am,Ia-norm,0.7405,6.66,0.0791,0.0074,2.0,0,good
311,sn2007ci,Ia-norm,0.7432,6.66,0.0784,0.0078,-4.2,0,good
312,sn1999cl,Ia-norm,0.6999,6.66,0.0822,0.0087,-4.2,0,good
313,sn2005el,Ia-norm,0.7378,6.65,0.0779,0.0082,-5.8,0,good
314,sn2006N,Ia-norm,0.7405,6.64,0.0725,0.0076,4.6,0,good
315,sn2003cq,Ia-norm,0.6999,6.64,0.0799,0.0077,-1.8,0,good
316,sn1998eg,Ia-norm,0.6877,6.64,0.075,0.0073,-0.8,0,good
317,sn1999ej,Ia-norm,0.6999,6.63,0.073,0.0073,3.1,0,good
318,sn1997bq,Ia-norm,0.7053,6.63,0.0893,0.0088,-5.6,0,good
319,sn2002he,Ia-norm,0.9368,6.62,0.0812,0.0091,-3.2,0,good
320,sn2006cq,Ia-norm,0.7446,6.61,0.0792,0.0099,-3.3,0,good
321,sn2002dj,Ia-norm,0.9368,6.61,0.0889,0.0094,-4.6,0,good
322,sn1999ee,Ia-norm,0.9368,6.61,0.0888,0.0093,-9.1,0,good
