# Template No. 1: sn99ee (Ia-norm; +7) ; z= 0.528 +/- 0.005
#redshifted_wavelength[A] flux[arbitraty]
  5897.86963  0.201867566
  5905.85938  0.246310309
  5913.86035  0.285139233
  5921.87207  0.31732282
  5929.89453  0.342222869
  5937.92773  0.359543502
  5945.97217  0.369251847
  5954.02734  0.371506512
  5962.09326  0.366626918
  5970.17041  0.355107605
  5978.25781  0.337666482
  5986.35693  0.315293729
  5994.46631  0.289265096
  6002.58789  0.261085838
  6010.71924  0.232355773
  6018.8623  0.204566509
  6027.01611  0.178870469
  6035.18066  0.155876189
  6043.35693  0.135527328
  6051.54395  0.117109329
  6059.74219  0.0994021073
  6067.95166  0.0809607282
  6076.17188  0.0604761019
  6084.40332  0.0371412002
  6092.646  0.010942623
  6100.8999 -0.0171938837
  6109.16504 -0.0454470888
  6117.44141 -0.0713375881
  6125.72852 -0.0921231732
  6134.02686 -0.105280273
  6142.33691 -0.108979322
  6150.6582 -0.102459773
  6158.99072 -0.086228624
  6167.33447 -0.0620402247
  6175.68896 -0.032657966
  6184.05566 -0.0014423579
  6192.43311  0.0281567797
  6200.82227  0.0531078726
  6209.22266  0.0712117776
  6217.63428  0.0813504383
  6226.05762  0.083534278
  6234.4917  0.0787547231
  6242.93799  0.0686879456
  6251.39551  0.0553221107
  6259.86426  0.0405915156
  6268.34473  0.0260908231
  6276.83643  0.0129164904
  6285.34033  0.0016483143
  6293.85498 -0.0075519383
  6302.38135 -0.014774695
  6310.91943 -0.0201901421
  6319.46875 -0.0239242539
  6328.02979 -0.0260175094
  6336.60254 -0.0264702942
  6345.18701 -0.0253490601
  6353.7832 -0.0229081418
  6362.39062 -0.0196748804
  6371.00977 -0.0164581761
  6379.64062 -0.0142632499
  6388.2832 -0.014127125
  6396.9375 -0.0169156715
  6405.60352 -0.023138538
  6414.28125 -0.0328372791
  6422.97119 -0.0455835722
  6431.67236 -0.0605940968
  6440.38525 -0.0769358948
  6449.11035 -0.0937674046
  6457.84717 -0.110549606
  6466.5957 -0.127167284
  6475.35596 -0.143925205
  6484.12842 -0.161417738
  6492.9126 -0.180306479
  6501.7085 -0.201067656
  6510.5166 -0.223779231
  6519.33643 -0.248006925
  6528.16846 -0.27282241
  6537.01221 -0.29694888
  6545.86816 -0.318995565
  6554.73584 -0.337717742
  6563.61572 -0.352236152
  6572.50732 -0.362160414
  6581.41162 -0.367592365
  6590.32715 -0.369017988
  6599.25586 -0.367127925
  6608.19531 -0.362624168
  6617.14795 -0.356069028
  6626.1123 -0.347815752
  6635.08887 -0.338031113
  6644.07764 -0.32679069
  6653.07812 -0.31420216
  6662.09131 -0.300506562
  6671.1167 -0.286113322
  6680.1543 -0.271548629
  6689.2041 -0.257325292
  6698.26611 -0.24377203
  6707.34033 -0.230872557
  6716.42676 -0.2181696
  6725.52588 -0.204770297
  6734.63672 -0.189464316
  6743.76025 -0.170933858
  6752.89648 -0.148009613
  6762.04492 -0.11991255
  6771.20508 -0.086425662
  6780.37842 -0.0479567535
  6789.56396 -0.0054802848
  6798.76172  0.0396239758
  6807.97217  0.0857932568
  6817.19531  0.131512865
  6826.43066  0.175505102
  6835.67871  0.21684204
  6844.93896  0.25496608
  6854.21191  0.28963086
  6863.49707  0.320789635
  6872.79541  0.348468959
  6882.10596  0.37266326
  6891.42969  0.393275768
  6900.76562  0.410117209
  6910.11426  0.42295748
  6919.47559  0.431610882
  6928.84912  0.436031401
  6938.23584  0.436392337
  6947.63525  0.433128566
  6957.04736  0.426927805
  6966.47217  0.418665797
  6975.91016  0.409292579
  6985.36035  0.399681538
  6994.82373  0.390465707
  7004.2998  0.381886393
  7013.78857  0.373687625
  7023.29004  0.365083456
  7032.80469  0.354821354
  7042.33252  0.341348469
  7051.87256  0.323072016
  7061.42627  0.298677713
  7070.99219  0.267456979
  7080.57129  0.229574472
  7090.16357  0.186213046
  7099.76904  0.13954328
  7109.38721  0.0924971923
  7119.01855  0.0483634174
  7128.6626  0.010261504
  7138.31982 -0.0194119271
  7147.99023 -0.0394557491
  7157.67383 -0.0501520447
  7167.37061 -0.0532932431
  7177.08008 -0.0519213751
  7186.80322 -0.0498095043
  7196.53955 -0.0507714003
  7206.28857 -0.0579265505
  7216.05127 -0.0730632544
  7225.82666 -0.0962296128
  7235.61572 -0.125642329
  7245.41797 -0.157943442
  7255.2334 -0.188765943
  7265.0625 -0.213509664
  7274.9043 -0.228184626
  7284.75977 -0.230165705
  7294.62891 -0.218717322
  7304.51074 -0.195189178
  7314.40625 -0.162846163
  7324.31543 -0.126363426
  7334.23779 -0.0910782516
  7344.17383 -0.0621331669
  7354.12256 -0.043663308
  7364.08545 -0.0381691642
  7374.06201 -0.0461791307
  7384.05176 -0.0662522092
  7394.05469 -0.0953069404
  7404.07178 -0.129206479
  7414.10254 -0.163483381
  7424.14648 -0.194068804
  7434.2041 -0.21789512
  7444.27539 -0.233270913
  7454.35986 -0.239977553
  7464.45898 -0.239090562
  7474.57129 -0.232585669
  7484.69678 -0.222827286
  7494.83691 -0.212055147
  7504.99023 -0.201976389
  7515.15723 -0.193539113
  7525.33838 -0.186917275
  7535.53271 -0.181684151
  7545.7417 -0.177109569
  7555.96387 -0.172489703
  7566.2002 -0.167416528
  7576.4502 -0.161916673
  7586.71387 -0.156428173
  7596.9917 -0.151631057
  7607.28369 -0.148187086
  7617.58936 -0.146469444
  7627.90918 -0.146364883
  7638.24268 -0.147207528
  7648.59033 -0.147865713
  7658.95215 -0.146961033
  7669.32812 -0.143156096
  7679.71729 -0.135433078
  7690.12158 -0.123285085
  7700.54004 -0.106770098
  7710.97217 -0.086418055
  7721.41797 -0.0630258694
  7731.87842 -0.0374083668
  7742.35254 -0.0101866517
  7752.8418  0.0183169637
  7763.34424  0.0480421111
  7773.86182  0.0790241137
  7784.39355  0.111154363
  7794.93848  0.143952802
  7805.49902  0.176441461
  7816.07324  0.207183689
  7826.66113  0.2345054
  7837.26416  0.25685668
  7847.88135  0.273223341
  7858.51318  0.283469409
  7869.15918  0.288495988
  7879.81982  0.290141791
  7890.49512  0.2908144
  7901.18408  0.292916417
  7911.88867  0.298193663
  7922.60645  0.307167858
  7933.33936  0.318809927
  7944.0874  0.330563724
  7954.84912  0.338750243
  7965.62549  0.339289159
  7976.4165  0.328592032
  7987.22266  0.304431558
  7998.04297  0.266581416
  8008.87842  0.217068821
  8019.72754  0.15996401
  8030.59229  0.100733109
  8041.47168  0.0452839583
  8052.36523 -0.00109383231
  8063.27441 -0.0346677899
  8074.19775 -0.0538799092
  8085.13574 -0.0595126823
  8096.08887 -0.0543792322
  8107.05762 -0.0426170975
  8118.03955 -0.0287552811
  8129.03711 -0.016768083
  8140.05029 -0.00932741724
  8151.07812 -0.00741028925
  8162.12012 -0.0103315832
  8173.17725 -0.0161695927
  8184.24951 -0.0224610418
  8195.33691 -0.0269821752
  8206.43945 -0.0284203738
  8217.55762 -0.0267726928
  8228.68945 -0.0233785212
  8239.83691 -0.0205859076
  8251. -0.0211392529
  8262.17773 -0.0274412651
  8273.37012 -0.0408706516
  8284.57812 -0.0613199621
  8295.80176 -0.0870643854
  8307.04102 -0.114993274
  8318.29395 -0.141152501
  8329.5625 -0.161474913
  8340.84766 -0.172540098
  8352.14648 -0.172199667
  8363.46191 -0.159943029
  8374.79199 -0.13693893
  8386.1377 -0.105762109
  8397.49805 -0.0698807612
  8408.875 -0.0330265164
  8420.26562  0.00141788926
  8431.67285  0.030893201
  8443.0957  0.0539238974
  8454.5332  0.0701418445
  8465.9873  0.0801051185
  8477.45605  0.0849847049
  8488.94141  0.086208649
  8500.44141  0.0851486549
  8511.95703  0.0829072818
  8523.48828  0.0802286193
  8535.03516  0.0775192976
  8546.59668  0.0749408603
  8558.17578  0.072522901
  8569.76953  0.0702548847
  8581.37891  0.0681302249
  8593.00488  0.0661409423
  8604.64551  0.0642402992
  8616.30273  0.0623024032
  8627.97559  0.0601051599
  8639.66309  0.0573523417
  8651.36816  0.0537327677
  8663.08789  0.0489985421
  8674.82422  0.043036174
  8686.57715  0.0359056443
  8698.34375  0.0278332271
  8710.12793  0.0191619061
  8721.92773  0.0102780629
  8733.74316  0.00154355634
  8745.57617 -0.00673956145
  8757.42285 -0.0143163037
  8769.28711 -0.0209222157
  8781.16699 -0.02620597
  8793.0625 -0.029667655
  8804.97559 -0.0306496024
  8816.90332 -0.0284036826
  8828.84766 -0.0222349521
