#wavelength[A] flux[arbitraty]
  5795.04004 -0.137129605
  5802.89111  0.0359448269
  5810.75244 -0.407669276
  5818.62451 -0.61413753
  5826.50732 -0.408502311
  5834.3999 -0.283670306
  5842.3042 -0.19757618
  5850.21924 -0.121946946
  5858.14404 -0.37759015
  5866.08057 -0.365795851
  5874.02686  0.195091799
  5881.98486 -0.278364569
  5889.95361  0.14555949
  5897.93262  0.100519463
  5905.92285  0.0105305081
  5913.92334  0.11830353
  5921.93555 -0.030072486
  5929.95752  0.28415978
  5937.99121  0.328274161
  5946.03516  0.226217121
  5954.09082  0.390750915
  5962.15674  1.40023315
  5970.23438  0.578215599
  5978.32227  0.629977882
  5986.4209  0.149112746
  5994.53076 -0.016115563
  6002.65186  0.329020053
  6010.78369  0.356624842
  6018.92627  0.329414487
  6027.08057  0.797245443
  6035.24561  0.707783878
  6043.42139  0.187594861
  6051.60889  0.0826065093
  6059.80713  0.303199679
  6068.01611  0.346110523
  6076.23682  0.296000957
  6084.46826  0.253953695
  6092.71094  0.00149372441
  6100.96533  0.180433452
  6109.22998 -0.440916568
  6117.50684  0.0663845614
  6125.79395  0.354216278
  6134.09277  0.455065906
  6142.40283  0.101538874
  6150.72363  0.275390834
  6159.05664  0.269039035
  6167.40039 -0.0330759622
  6175.75537 -0.0603332445
  6184.12207  0.426842242
  6192.49951  0.926899135
  6200.88867  0.215624064
  6209.28906 -0.0528582968
  6217.70068  0.369322062
  6226.12402 -0.0338948183
  6234.55859  0.120746359
  6243.00488  0.694125593
  6251.46289  0.00656360853
  6259.93115  0.492305428
  6268.41211  0.403211176
  6276.90381  0.0974257663
  6285.40771  0.313019514
  6293.92188 -0.00733941561
  6302.44873  0.131864369
  6310.98682  0.128637433
  6319.53662  0.464157879
  6328.09766  0.0623888485
  6336.67041  0.164575636
  6345.25488 -0.0533233024
  6353.85107 -0.0471748449
  6362.4585  0.0671840087
  6371.07812  0.231012225
  6379.7085  0.0851005167
  6388.35205 -0.0404231474
  6397.00586 -0.136453077
  6405.67236 -0.176812619
  6414.3501 -0.208633244
  6423.04004  0.29809466
  6431.74121  0.0232178457
  6440.4541 -0.16640313
  6449.17969  0.357946754
  6457.9165  0.0698809922
  6466.66455 -0.267650366
  6475.42529 -0.2240289
  6484.19775 -0.379170775
  6492.98193  0.152989134
  6501.77832 -0.0956212878
  6510.58594  0.080249615
  6519.40625 -0.356833339
  6528.23828 -0.3270863
  6537.08203 -0.298972636
  6545.93848 -0.0102134217
  6554.80615 -0.291138649
  6563.68604 -0.170347735
  6572.57812  0.150796622
  6581.48193 -0.509366691
  6590.39795 -0.299919456
  6599.32617 -0.244919524
  6608.26611 -0.150549263
  6617.21875 -0.193035588
  6626.18359  0.136025339
  6635.15967 -0.11728783
  6644.14893 -0.521691084
  6653.1499 -0.165152758
  6662.1626 -0.0667376593
  6671.18799  0.0959474668
  6680.22559  0.0157448649
  6689.27539  0.134945571
  6698.33789  0.102095783
  6707.41211 -0.0846736655
  6716.49854 -0.124686673
  6725.59717 -0.0771813765
  6734.70898 -0.414409012
  6743.83301 -0.384997517
  6752.96826  0.173120245
  6762.11719 -0.308434904
  6771.27783  0.149178147
  6780.45117 -0.219908997
  6789.63672  0.187143192
